REF_AREA,Reference area,Measure,Pollutant,Unit of measure,ISO,ISO 1,TIME_PERIOD,OBS_VALUE
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,2004,6.3086286
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,2005,6.341187
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,2006,6.2894421
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,2007,6.3648152
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,2008,6.4153991
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,2009,6.6109018
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,2010,6.8265405
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,2011,6.6099386
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,2012,6.6444821
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,2013,6.640214
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,2014,6.4636598
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,2015,6.4490247
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,2016,6.50179
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,2017,6.6873608
