STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,POLLUTANT,Pollutant,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,OBS_STATUS_4,Observation status 4,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period,DECIMALS,Decimals,CONVERSION_TYPE,Conversion type
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,NLD,Netherlands,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2017,,133.4064,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,NLD,Netherlands,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2018,,132.5354,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,NLD,Netherlands,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2019,,126.4102,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,NLD,Netherlands,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2020,,124.9836,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,NLD,Netherlands,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2021,,123.4826,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,NLD,Netherlands,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2022,,121.1514,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,1990,,148.2411,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,1991,,137.4867,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,1992,,116.4508,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,1993,,96.33022,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,1994,,82.22983,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,1995,,72.00757,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,1996,,66.843,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,1997,,66.56215,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,1998,,58.95339,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,1999,,61.21369,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2000,,56.67294,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2001,,54.26701,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2002,,57.52096,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2003,,56.56044,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2004,,62.52982,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2005,,57.85207,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2006,,57.54844,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2007,,53.48043,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2008,,56.99531,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2009,,53.70446,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2010,,55.72458,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2011,,54.91449,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
