Year,NOC,Total Athletes,Medal Count,Average Age (M),Average Height (M),Average Weight (M),Average Age (F),Average Height (F),Average Weight (F)
1932,ROU,5,0.0,31.125,176.0,,,,
1932,RSA,13,5.0,37.0,178.25,65.0,20.4,172.0,65.0
1932,SUI,14,3.0,31.153846153846153,175.5,58.125,,,
1932,SWE,93,35.0,32.99185463659148,178.51724137931035,75.92307692307692,31.33333333333333,,
1932,TCH,31,6.0,36.28333333333333,178.52,87.5,,,
1932,TUR,1,0.0,,,,,,
1932,URU,2,1.0,71.0,193.0,,,,
1932,USA,538,223.0,32.68760742088767,174.30808080808083,74.40350877192982,34.32222222222222,167.47368421052633,55.63157894736842
1932,VEN,1,0.0,30.0,,,,,
1932,YUG,1,0.0,34.0,192.0,85.0,,,
1936,AFG,15,0.0,24.266666666666666,,,,,
1936,ARG,51,11.0,30.846031746031745,169.73333333333332,65.0,20.0,,
1936,AUS,33,1.0,23.88571428571429,173.75,70.66666666666667,19.83333333333333,174.66666666666666,
1936,AUT,293,60.0,30.998761904761906,180.80769230769232,74.40625,18.752688172043012,166.66666666666666,60.125
1936,BEL,182,19.0,34.70782703886152,170.8,68.625,25.25,168.0,
1936,BER,5,0.0,23.33333333333333,,,,,
1936,BOL,2,0.0,26.0,,,,,
1936,BRA,73,0.0,35.023529411764706,178.41666666666666,69.75,18.5,168.0,
1936,BUL,33,0.0,26.666666666666668,,,,,
1936,CAN,126,35.0,26.61969696969697,181.14634146341464,71.3030303030303,23.958333333333332,165.6,55.5
1936,CHI,40,0.0,30.953703703703702,178.28571428571428,78.28571428571429,28.0,,
1936,CHN,54,0.0,23.79032258064516,172.0,65.25,18.666666666666668,168.0,
1936,COL,5,0.0,24.0,,,,,
1936,CRC,1,0.0,36.0,178.0,,,,
1936,DEN,121,6.0,27.18735632183908,168.0,51.0,20.80952380952381,,
1936,EGY,53,5.0,24.07692307692308,171.33333333333334,73.27272727272727,,,
1936,ESP,6,0.0,23.25,,,24.5,,
1936,EST,38,7.0,33.404761904761905,180.17391304347825,81.18181818181819,29.5,,
1936,FIN,127,36.0,28.370416666666664,174.9904761904762,75.64157706093191,23.8,164.55555555555554,57.0
1936,FRA,229,45.0,31.214317673378076,172.54365079365078,70.07738095238095,26.07692307692308,161.5,59.0
1936,GBR,245,53.0,27.001287001287004,177.46808510638297,68.65116279069767,23.935,166.92857142857142,60.25
1936,GER,489,231.0,31.14199334410023,174.0222222222222,73.70967741935483,18.16374269005848,169.7,60.78947368421053
1936,GRE,42,0.0,23.47058823529412,176.16666666666666,76.5,22.0,,
1936,HUN,238,43.0,28.512762762762762,178.47058823529412,72.0,22.866666666666664,166.0,58.0
1936,IND,27,19.0,25.86206896551724,171.83333333333334,54.0,,,
1936,ISL,12,0.0,23.307692307692307,,,,,
1936,ITA,284,76.0,30.931231231231234,171.64893617021278,70.21875,22.58333333333333,,
1936,JPN,251,23.0,24.594249201277957,171.63636363636363,59.0625,18.70833333333333,159.0,54.0
1936,LAT,55,2.0,27.03174603174603,174.75,74.0,22.666666666666668,,
1936,LIE,10,0.0,26.58333333333333,,,,,
1936,LUX,54,0.0,30.352713178294575,177.38636363636363,79.9375,36.0,,
1936,MEX,32,16.0,26.21875,172.66666666666666,,,,
1936,MLT,11,0.0,22.181818181818183,,,,,
1936,MON,8,0.0,34.111111111111114,166.66666666666666,87.66666666666667,,,
1936,NED,173,37.0,30.87256097560976,179.26666666666665,76.28571428571429,19.21875,169.0,63.0
1936,NOR,100,46.0,31.079259259259253,178.21014492753622,74.25,21.666666666666668,155.0,45.0
1936,NZL,7,1.0,22.0,172.66666666666666,65.33333333333333,,,
1936,PER,40,0.0,23.377777777777776,172.5,62.5,,,
1936,PHI,28,1.0,23.34285714285714,176.28571428571428,65.33333333333333,,,
