Country,ISO,Start Year,AID Contribution ('000 US$),Total Deaths,No. Injured,"Total Damage, Adjusted ('000 US$)"
"China, Hong Kong Special Administrative Region",HKG,1993,0,1,5,1666
China,CHN,1993,0,41,400,56950
"China, Hong Kong Special Administrative Region",HKG,1993,0,4,183,253
Japan,JPN,1993,0,56,35,442947
Republic of Korea,KOR,1993,0,11,13,229278
China,CHN,1993,0,28,213,915255
France,FRA,1993,0,10,2,1054635
Australia,AUS,1993,0,1,30,9703
Thailand,THA,1993,0,23,252,2659790
Philippines,PHL,1993,142,52,7,35858
Viet Nam,VNM,1993,0,73,20,105464
China,CHN,1993,0,93,153,86480
China,CHN,1993,0,6,585,29530
United States of America,USA,1993,0,3,130,2109271
China,CHN,1993,0,10,428,26598
"China, Hong Kong Special Administrative Region",HKG,1993,0,1,48,12656
"China, Hong Kong Special Administrative Region",HKG,1993,0,2,30,1687
Lao People's Democratic Republic,LAO,1993,0,8,120,637318
Thailand,THA,1993,0,4,2,674650
Australia,AUS,1994,0,4,120,308351
United States of America,USA,1994,0,60,7000,61670103
Indonesia,IDN,1994,1458,207,1449,350442
Madagascar,MDG,1994,10586,200,43,20557
Philippines,PHL,1994,819,62,26,4934
Peru,PER,1994,479,52,100,102784
Madagascar,MDG,1994,0,12,8,411
Bangladesh,BGD,1994,425,130,3559,256959
Colombia,COL,1994,4856,271,158,4934
China,CHN,1994,0,101,579,411134
Indonesia,IDN,1994,266,239,440,4522
China,CHN,1994,58404,1001,14400,11223959
China,CHN,1994,0,258,7665,3720763
China,CHN,1994,0,90,684,1438969
India,IND,1994,211,2001,50,359742
Philippines,PHL,1994,0,11,7,77293
Philippines,PHL,1994,0,17,21,2056
Pakistan,PAK,1994,964,316,16,189122
Bangladesh,BGD,1994,0,40,150,5139
United States of America,USA,1994,0,3,60,205567
Australia,AUS,1994,0,2,20,159520
China,CHN,1994,0,74,684,1439
United States of America,USA,1994,0,32,22,513918
"China, Hong Kong Special Administrative Region",HKG,1994,0,1,17,76060
Republic of Korea,KOR,1994,0,28,2,23
Papua New Guinea,PNG,1994,0,11,60,24668
Taiwan (Province of China),TWN,1994,0,16,41,476915
Viet Nam,VNM,1994,0,21,34,4728
Ethiopia,ETH,1994,0,4,14,7195
China,CHN,1994,0,1174,1800,2364021
Philippines,PHL,1994,498,23,1,49336
Papua New Guinea,PNG,1994,1732,5,2,226124
Taiwan (Province of China),TWN,1994,0,6,50,49336
Japan,JPN,1994,0,2,285,350286
United States of America,USA,1994,0,37,70,1438969
Philippines,PHL,1994,0,81,171,7606
Philippines,PHL,1994,0,32,15,138552
Republic of Korea,KOR,1994,0,12,50,53447
Philippines,PHL,1994,0,49,86,55119
Taiwan (Province of China),TWN,1994,0,10,40,205567
Thailand,THA,1994,0,11,3,61670
China,CHN,1994,0,41,320,24874
Japan,JPN,1995,13557,5297,34492,199957382
Iceland,ISL,1995,0,14,12,4857
Cyprus,CYP,1995,0,2,5,8678
China,CHN,1995,0,54,453,72185
United States of America,USA,1995,0,18,100,3999148
United States of America,USA,1995,0,5,60,5998721
Greece,GRC,1995,122,26,60,899808
Russian Federation,RUS,1995,4994,1989,750,128173
China,CHN,1995,879,1437,70249,13437136
Türkiye,TUR,1995,0,74,46,51989
China,CHN,1995,0,11,136,72185
Chile,CHL,1995,0,3,58,3319
Republic of Korea,KOR,1995,0,45,160,849819
Antigua and Barbuda,ATG,1995,0,2,165,699851
Mexico,MEX,1995,0,6,25,42191
Philippines,PHL,1995,289,416,7,1400302
Dominica,DMA,1995,0,2,1,39991
Türkiye,TUR,1995,1981,94,240,411512
Philippines,PHL,1995,51,184,14,76184
Iceland,ISL,1995,0,20,8,6719
China,CHN,1995,0,46,297,159966
Philippines,PHL,1995,3720,882,2369,487896
Philippines,PHL,1995,0,146,55,59987
Türkiye,TUR,1995,0,63,117,99979
Viet Nam,VNM,1995,838,16,51,42391
China,CHN,1995,0,152,320,240349
Austria,AUT,1995,0,4,100,239949
Russian Federation,RUS,1995,0,83,10,87981
Greece,GRC,1995,0,26,100,845220
Australia,AUS,1995,0,7,15,195958
Australia,AUS,1995,0,1,15,167964
China,CHN,1995,0,32,12,200
Iran (Islamic Republic of),IRN,1995,0,10,11,179962
Indonesia,IDN,1995,0,18,472,99979
Iran (Islamic Republic of),IRN,1996,0,9,85,25837
China,CHN,1996,10381,309,16925,982971
South Africa,ZAF,1996,0,27,30,13326
Indonesia,IDN,1996,933,166,423,8159
Ecuador,ECU,1996,1376,27,180,13598
Germany,DEU,1996,0,16,62,611346
Mongolia,MNG,1996,2651,25,61,3327339
China,CHN,1996,21793,2775,234000,24477153
Philippines,PHL,1996,0,26,13,73820
Viet Nam,VNM,1996,2614,585,591,703232
Indonesia,IDN,1996,0,34,21,835
China,CHN,1996,0,26,128,46623
China,CHN,1996,0,44,300,139869
Mexico,MEX,1996,0,6,47,1942631
Spain,ESP,1996,0,84,129,38853
Australia,AUS,1996,0,6,20,91304
China,CHN,1996,0,197,5000,2913947
Indonesia,IDN,1996,0,13,7,583
Puerto Rico,PRI,1996,0,29,90,23506
Australia,AUS,1996,0,1,6,254485
Malaysia,MYS,1996,310,270,26,101017
