Year,NOC,Total Athletes,Medal Count,Average Age (M),Average Height (M),Average Weight (M),Average Age (F),Average Height (F),Average Weight (F),Country Name,Armed forces personnel (% of total labor force),"Compulsory education, duration (years)",Control of Corruption: Percentile Rank,Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),Government Effectiveness: Percentile Rank,"Government expenditure on education, total (% of GDP)","International tourism, expenditures (current US$)",Military expenditure (% of GDP),"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",Political Stability and Absence of Violence/Terrorism: Percentile Rank,Population growth (annual %),"Population, total",Rule of Law: Percentile Rank,Strength of legal rights index (0=weak to 12=strong),"Unemployment, total (% of total labor force) (modeled ILO estimate)"
1920,CAN,52,16.0,26.47058823529412,172.6216216216216,75.78571428571429,,,,,,,,,,,,,,,,,,,,,,,,,
1920,CHI,2,0.0,27.0,168.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,
1920,DEN,154,71.0,28.91561181434599,170.0,,25.857142857142858,,,,,,,,,,,,,,,,,,,,,,,,
1920,EGY,18,0.0,27.75,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,
1920,ESP,62,23.0,25.71895424836601,176.3,68.8,,,,,,,,,,,,,,,,,,,,,,,,,
1920,EST,14,3.0,25.45,173.58333333333334,71.71428571428571,,,,,,,,,,,,,,,,,,,,,,,,,
1920,FIN,63,52.0,31.85925925925926,176.31147540983608,73.67213114754098,35.0,165.0,58.0,,,,,,,,,,,,,,,,,,,,,,
1920,FRA,312,141.0,33.25184016824395,175.2403100775194,71.58928571428571,21.33333333333333,,,,,,,,,,,,,,,,,,,,,,,,
1920,GBR,248,111.0,32.162114845938376,176.58490566037736,75.11904761904762,32.55797101449276,,,,,,,,,,,,,,,,,,,,,,,,
1920,GRE,47,5.0,28.88888888888889,178.0,72.5,,,,,,,,,,,,,,,,,,,,,,,,,
1920,IND,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,ITA,174,84.0,27.22439024390244,179.65,75.6923076923077,25.0,,,,,,,,,,,,,,,,,,,,,,,,
1920,JPN,15,3.0,24.692307692307693,164.66666666666666,60.66666666666666,,,,,,,,,,,,,,,,,,,,,,,,,
1920,LUX,25,1.0,23.3125,176.0,91.25,,,,,,,,,,,,,,,,,,,,,,,,,
1920,MON,4,0.0,24.285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,NED,130,50.0,25.649509803921568,184.0,78.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,
1920,NOR,193,137.0,33.139873094452305,177.73333333333332,71.7,23.166666666666668,156.0,,,,,,,,,,,,,,,,,,,,,,,
1920,NZL,4,1.0,23.75,,,15.0,165.0,,,,,,,,,,,,,,,,,,,,,,,
1920,POR,13,0.0,30.0,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,RSA,42,21.0,29.87922705314009,177.33333333333334,67.5,,,,,,,,,,,,,,,,,,,,,,,,,
1920,SUI,77,29.0,30.164383561643834,175.0,72.5,,,,,,,,,,,,,,,,,,,,,,,,,
1920,SWE,267,154.0,27.011599511599517,176.9090909090909,71.55932203389831,25.873015873015877,,,,,,,,,,,,,,,,,,,,,,,,
1920,TCH,122,10.0,30.39,171.45454545454547,70.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,
1920,USA,288,194.0,27.527839643652563,177.64930555555554,74.17482517482517,20.27272727272728,161.58823529411765,,,,,,,,,,,,,,,,,,,,,,,
1920,YUG,15,0.0,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,ARG,81,10.0,21.21969696969697,176.5,77.2,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AUS,37,11.0,26.163636363636364,177.3181818181818,68.73333333333333,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AUT,53,8.0,28.83870967741936,178.0,76.33333333333333,24.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,
1924,BEL,199,44.0,33.42037037037037,178.47058823529412,74.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,
1924,BRA,12,0.0,23.142857142857142,182.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,
